ewc_code,hazardous,description
07 04 10*,True,Other filter cakes and spent absorbents
07 04 11*,True,Sludges from on-site effluent treatment containing hazardous substances
07 04 12,False,Sludges from on-site effluent treatment other than those mentioned in 07 04 11
07 04 13*,True,Solid wastes containing hazardous substances
07 04 99,False,Wastes not otherwise specified
07 05 01*,True,Aqueous washing liquids and mother liquors
07 05 03*,True,"Organic halogenated solvents, washing liquids and mother liquors"
07 05 04*,True,"Other organic solvents, washing liquids and mother liquors"
07 05 07*,True,Halogenated still bottoms and reaction residues
07 05 08*,True,Other still bottoms and reaction residues
07 05 09*,True,Halogenated filter cakes and spent absorbents
07 05 10*,True,Other filter cakes and spent absorbents
07 05 11*,True,Sludges from on-site effluent treatment containing hazardous substances
07 05 12,False,Sludges from on-site effluent treatment other than those mentioned in 07 05 11
07 05 13*,True,Solid wastes containing hazardous substances
07 05 14,False,Solid wastes other than those mentioned in 07 05 13
07 05 99,False,Wastes not otherwise specified
07 06 01*,True,Aqueous washing liquids and mother liquors
07 06 03*,True,"Organic halogenated solvents, washing liquids and mother liquors"
07 06 04*,True,"Other organic solvents, washing liquids and mother liquors"
07 06 07*,True,Halogenated still bottoms and reaction residues
07 06 08*,True,Other still bottoms and reaction residues
07 06 09*,True,Halogenated filter cakes and spent absorbents
07 06 10*,True,Other filter cakes and spent absorbents
07 06 11*,True,Sludges from on-site effluent treatment containing hazardous substances
07 06 12,False,Sludges from on-site effluent treatment other than those mentioned in 07 06 11
07 06 99,False,Wastes not otherwise specified
07 07 01*,True,Aqueous washing liquids and mother liquors
07 07 03*,True,"Organic halogenated solvents, washing liquids and mother liquors"
07 07 04*,True,"Other organic solvents, washing liquids and mother liquors"
07 07 07*,True,Halogenated still bottoms and reaction residues
07 07 08*,True,Other still bottoms and reaction residues
07 07 09*,True,Halogenated filter cakes and spent absorbents
07 07 10*,True,Other filter cakes and spent absorbents
07 07 11*,True,Sludges from on-site effluent treatment containing hazardous substances
07 07 12,False,Sludges from on-site effluent treatment other than those mentioned in 07 07 11
07 07 99,False,"Wastes not otherwise specified varnishes and vitreous enamels), adhesives, sealants and printing inks"
08 01 11*,True,Waste paint and varnish containing organic solvents or other hazardous substances
08 01 12,False,Waste paint and varnish other than those mentioned in 08 01 11
08 01 13*,True,Sludges from paint or varnish containing organic solvents or other hazardous substances
08 01 14,False,Sludges from paint or varnish other than those mentioned in 08 01 13
08 01 15*,True,Aqueous sludges containing paint or varnish containing organic solvents or other hazardous substances
08 01 16,False,Aqueous sludges containing paint or varnish other than those mentioned in 08 01 15
08 01 17*,True,Wastes from paint or varnish removal containing organic solvents or other hazardous substances
08 01 18,False,Wastes from paint or varnish removal other than those mentioned in 08 01 17
08 01 19*,True,Aqueous suspensions containing paint or varnish containing organic solvents or other hazardous substances
08 01 20,False,Aqueous suspensions containing paint or varnish other than those mentioned in 08 01 19
08 01 21*,True,Waste paint or varnish remover
08 01 99,False,Wastes not otherwise specified
08 02 01,False,Waste coating powders
08 02 02,False,Aqueous sludges containing ceramic materials
08 02 03,False,Aqueous suspensions containing ceramic materials
08 02 99,False,Wastes not otherwise specified
08 03 07,False,Aqueous sludges containing ink
08 03 08,False,Aqueous liquid waste containing ink
08 03 12*,True,Waste ink containing hazardous substances
08 03 13,False,Waste ink other than those mentioned in 08 03 12
08 03 14*,True,Ink sludges containing hazardous substances
08 03 15,False,Ink sludges other than those mentioned in 08 03 14
08 03 16*,True,Waste etching solutions
08 03 17*,True,Waste printing toner containing hazardous substances
08 03 18,False,Waste printing toner other than those mentioned in 08 03 17
08 03 19*,True,Disperse oil
08 03 99,False,Wastes not otherwise specified
08 04 09*,True,Waste adhesives and sealants containing organic solvents or other hazardous substances
08 04 10,False,Waste adhesives and sealants other than those mentioned in 08 04 09
08 04 11*,True,Adhesive and sealant sludges containing organic solvents or other hazardous substances
08 04 12,False,Adhesive and sealant sludges other than those mentioned in 08 04 11
08 04 13*,True,Aqueous sludges containing adhesives or sealants containing organic solvents or other hazardous substances
08 04 14,False,Aqueous sludges containing adhesives or sealants other than those mentioned in 08 04 13
08 04 15*,True,Aqueous liquid waste containing adhesives or sealants containing organic solvents or other hazardous substances
08 04 16,False,Aqueous liquid waste containing adhesives or sealants other than those mentioned in 08 04 15
08 04 17*,True,Rosin oil
08 04 99,False,Wastes not otherwise specified
08 05 01*,True,Waste isocyanates
09 01 01*,True,Water-based developer and activator solutions
09 01 02*,True,Water-based offset plate developer solutions
09 01 03*,True,Solvent-based developer solutions
09 01 04*,True,Fixer solutions
09 01 05*,True,Bleach solutions and bleach fixer solutions
09 01 06*,True,Wastes containing silver from on-site treatment of photographic wastes
09 01 07,False,Photographic film and paper containing silver or silver compounds
09 01 08,False,Photographic film and paper free of silver or silver compounds
09 01 10,False,Single-use cameras without batteries
09 01 11*,True,"Single-use cameras containing batteries included in 16 06 01, 16 06 02 or 16 06 03"
09 01 12,False,Single-use cameras containing batteries other than those mentioned in 09 01 11
09 01 13*,True,Aqueous liquid waste from on-site reclamation of silver other than those mentioned in 09 01 06
09 01 99,False,Wastes not otherwise specified
10 01 01,False,"Bottom ash, slag and boiler dust (excluding boiler dust mentioned in 10 01 04)"
10 01 02,False,Coal fly ash
10 01 03,False,Fly ash from peat and untreated wood
10 01 04*,True,Oil fly ash and boiler dust
10 01 05,False,Calcium-based reaction wastes from flue-gas desulphurisation in solid form
10 01 07,False,Calcium-based reaction wastes from flue-gas desulphurisation in sludge form
10 01 09*,True,Sulphuric acid
10 01 13*,True,Fly ash from emulsified hydrocarbons used as fuel
10 01 14*,True,"Bottom ash, slag and boiler dust from co-incineration containing hazardous substances"
10 01 15,False,"Bottom ash, slag and boiler dust from co-incineration other than those mentioned in 10 01 14"
10 01 16*,True,Fly ash from co-incineration containing hazardous substances
10 01 17,False,Fly ash from co-incineration other than those mentioned in 10 01 16
10 01 18*,True,Wastes from gas cleaning containing hazardous substances
10 01 19,False,"Wastes from gas cleaning other than those mentioned in 10 01 05, 10 01 07 and 10 01 18"
10 01 20*,True,Sludges from on-site effluent treatment containing hazardous substances
10 01 21,False,Sludges from on-site effluent treatment other than those mentioned in 10 01 20
10 01 22*,True,Aqueous sludges from boiler cleansing containing hazardous substances
10 01 23,False,Aqueous sludges from boiler cleansing other than those mentioned in 10 01 22
10 01 24,False,Sands from fluidised beds
10 01 25,False,Wastes from fuel storage and preparation of coal-fired power plants
10 01 26,False,Wastes from cooling-water treatment
10 01 99,False,Wastes not otherwise specified
10 02 01,False,Wastes from the processing of slag
10 02 02,False,Unprocessed slag
10 02 07*,True,Solid wastes from gas treatment containing hazardous substances
10 02 08,False,Solid wastes from gas treatment other than those mentioned in 10 02 07
10 02 10,False,Mill scales
10 02 11*,True,Wastes from cooling-water treatment containing oil
10 02 12,False,Wastes from cooling-water treatment other than those mentioned in 10 02 11
10 02 13*,True,Sludges and filter cakes from gas treatment containing hazardous substances
10 02 14,False,Sludges and filter cakes from gas treatment other than those mentioned in 10 02 13
10 02 15,False,Other sludges and filter cakes
10 02 99,False,Wastes not otherwise specified
10 03 02,False,Anode scraps
10 03 04*,True,Primary production slags
10 03 05,False,Waste alumina
10 03 08*,True,Salt slags from secondary production
10 03 09*,True,Black drosses from secondary production
10 03 15*,True,"Skimmings that are flammable or emit, upon contact with water, flammable gases in hazardous quantities"
10 03 16,False,Skimmings other than those mentioned in 10 03 15
10 03 17*,True,Tar-containing wastes from anode manufacture
10 03 18,False,Carbon-containing wastes from anode manufacture other than those mentioned in 10 03 17
10 03 19*,True,Flue-gas dust containing hazardous substances
10 03 20,False,Flue-gas dust other than those mentioned in 10 03 19
10 03 21*,True,Other particulates and dust (including ball-mill dust) containing hazardous substances
10 03 22,False,Other particulates and dust (including ball-mill dust) other than those mentioned in 10 03 21
10 03 23*,True,Solid wastes from gas treatment containing hazardous substances
10 03 24,False,Solid wastes from gas treatment other than those mentioned in 10 03 23
10 03 25*,True,Sludges and filter cakes from gas treatment containing hazardous substances
10 03 26,False,Sludges and filter cakes from gas treatment other than those mentioned in 10 03 25
10 03 27*,True,Wastes from cooling-water treatment containing oil
10 03 28,False,Wastes from cooling-water treatment other than those mentioned in 10 03 27
10 03 29*,True,Wastes from treatment of salt slags and black drosses containing hazardous substances
10 03 30,False,Wastes from treatment of salt slags and black drosses other than those mentioned in 10 03 29
10 03 99,False,Wastes not otherwise specified
10 04 01*,True,Slags from primary and secondary production
10 04 02*,True,Dross and skimmings from primary and secondary production
10 04 03*,True,Calcium arsenate
10 04 04*,True,Flue-gas dust
10 04 05*,True,Other particulates and dust
10 04 06*,True,Solid wastes from gas treatment
10 04 07*,True,Sludges and filter cakes from gas treatment
10 04 09*,True,Wastes from cooling-water treatment containing oil
10 04 10,False,Wastes from cooling-water treatment other than those mentioned in 10 04 09
10 04 99,False,Wastes not otherwise specified
10 05 01,False,Slags from primary and secondary production
10 05 03*,True,Flue-gas dust
10 05 04,False,Other particulates and dust
10 05 05*,True,Solid waste from gas treatment
10 05 06*,True,Sludges and filter cakes from gas treatment
